,club,link
0,Man City,https://www.transfermarkt.co.uk/manchester-city/kader/verein/281/saison_id/2018
1,Liverpool,https://www.transfermarkt.co.uk/fc-liverpool/kader/verein/31/saison_id/2018
2,Chelsea,https://www.transfermarkt.co.uk/fc-chelsea/kader/verein/631/saison_id/2018
3,Spurs,https://www.transfermarkt.co.uk/tottenham-hotspur/kader/verein/148/saison_id/2018
4,Man Utd,https://www.transfermarkt.co.uk/manchester-united/kader/verein/985/saison_id/2018
5,Arsenal,https://www.transfermarkt.co.uk/fc-arsenal/kader/verein/11/saison_id/2018
6,Everton,https://www.transfermarkt.co.uk/fc-everton/kader/verein/29/saison_id/2018
7,Leicester,https://www.transfermarkt.co.uk/leicester-city/kader/verein/1003/saison_id/2018
8,West Ham,https://www.transfermarkt.co.uk/west-ham-united/kader/verein/379/saison_id/2018
9,Crystal Palace,https://www.transfermarkt.co.uk/crystal-palace/kader/verein/873/saison_id/2018
10,Bournemouth,https://www.transfermarkt.co.uk/afc-bournemouth/kader/verein/989/saison_id/2018
11,Fulham,https://www.transfermarkt.co.uk/fc-fulham/kader/verein/931/saison_id/2018
12,Wolves,https://www.transfermarkt.co.uk/wolverhampton-wanderers/kader/verein/543/saison_id/2018
13,Southampton,https://www.transfermarkt.co.uk/fc-southampton/kader/verein/180/saison_id/2018
14,Newcastle,https://www.transfermarkt.co.uk/newcastle-united/kader/verein/762/saison_id/2018
15,Watford,https://www.transfermarkt.co.uk/fc-watford/kader/verein/1010/saison_id/2018
16,Burnley,https://www.transfermarkt.co.uk/fc-burnley/kader/verein/1132/saison_id/2018
17,Brighton,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/kader/verein/1237/saison_id/2018
18,Huddersfield,https://www.transfermarkt.co.uk/huddersfield-town/kader/verein/1110/saison_id/2018
19,Cardiff,https://www.transfermarkt.co.uk/cardiff-city/kader/verein/603/saison_id/2018
